BTU_count	provisioning	xp_id
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.71
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.72
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.73
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.74
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.75
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.76
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.77
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.78
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.79
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.7
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.80
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.81
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.82
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.83
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.84
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.85
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.86
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.87
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.88
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.89
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.8
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.90
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.91
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.92
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.93
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.94
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.95
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.96
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.97
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.98
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.99
40	asap	v4.montecarlo-brs-10.brs.asap.regular1gb.openstack-icps.9
