"source" "BTU" "wpo.BTU" "wto.BTU" "wpo.d" "wto.d"
"bonfire-de-hlrs.brs.Afap.1250.2.json" 53 34 51 0.358490566037736 0.0377358490566038
"bonfire-de-hlrs.brs.Afap.1250.3.json" 53 34 53 0.358490566037736 0
"bonfire-de-hlrs.brs.Afap.1250.json" 53 34 53 0.358490566037736 0
"openstack.brs.Afap.1250.3.json" 58 36 58 0.379310344827586 0
"openstack.brs.Afap.1250.4.json" 58 35 58 0.396551724137931 0
"openstack.brs.Afap.1250.5.json" 58 35 58 0.396551724137931 0
"openstack.brs.Afap.1250.6.json" 58 35 58 0.396551724137931 0
"openstack.brs.Afap.1250.json" 58 35 58 0.396551724137931 0
"bonfire-de-hlrs.hrs.Afap.1250.json" 5 3 5 0.4 0
"bonfire-fr-inria.hrs.Afap.1250.2.json" 5 3 5 0.4 0
"bonfire-fr-inria.hrs.Afap.1250.3.json" 5 3 5 0.4 0
"bonfire-fr-inria.hrs.Afap.1250.4.json" 5 3 5 0.4 0
"bonfire-fr-inria.hrs.Afap.1250.5.json" 5 3 5 0.4 0
"bonfire-uk-epcc.hrs.Afap.1250.2.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.10.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.2.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.4.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.6.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.7.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.8.json" 5 3 5 0.4 0
"openstack.hrs.Afap.1250.9.json" 5 3 5 0.4 0
"openstack.brs.Afap.1250.11.json" 57 34 57 0.403508771929825 0
"bonfire-uk-epcc.brs.Asap.1250.2.json" 68 40 60 0.411764705882353 0.117647058823529
"bonfire-uk-epcc.brs.Asap.1250.3.json" 68 40 62 0.411764705882353 0.0882352941176471
"bonfire-uk-epcc.brs.Asap.1250.json" 68 40 61 0.411764705882353 0.102941176470588
"openstack.brs.Afap.1250.10.json" 58 34 58 0.413793103448276 0
"openstack.brs.Afap.1250.2.json" 58 34 58 0.413793103448276 0
"openstack.brs.Afap.1250.7.json" 58 34 58 0.413793103448276 0
"openstack.brs.Afap.1250.8.json" 58 34 58 0.413793103448276 0
"openstack.brs.Afap.1250.9.json" 58 34 58 0.413793103448276 0
"bonfire-de-hlrs.pleiades-2x2.Asap.json" 47 26 48 0.446808510638298 0.0212765957446809
"bonfire-uk-epcc.brs.Afap.1250.3.json" 71 35 60 0.507042253521127 0.154929577464789
"bonfire-uk-epcc.brs.Afap.1250.json" 71 35 61 0.507042253521127 0.140845070422535
"bonfire-uk-epcc.brs.Afap.1250.2.json" 72 35 61 0.513888888888889 0.152777777777778
"bonfire-fr-inria.pleiades-2x2.Afap.json" 7 11 8 0.571428571428571 0.142857142857143
"openstack.pleiades-2x2.Afap.json" 7 11 7 0.571428571428571 0
"bonfire-fr-inria.hrs.Afap.1250.json" 8 3 7 0.625 0.125
"bonfire-uk-epcc.pleiades-3x3.Afap.json" 16 29 18 0.8125 0.125
"bonfire-uk-epcc.pleiades-3x3.Afap.3.json" 14 29 19 1.07142857142857 0.357142857142857
"bonfire-uk-epcc.pleiades-3x3.Afap.4.json" 13 29 15 1.23076923076923 0.153846153846154
"openstack.pleiades-4x4.Afap.json" 19 44 21 1.31578947368421 0.105263157894737
"bonfire-fr-inria.pleiades-3x3.Afap.3.json" 13 32 19 1.46153846153846 0.461538461538462
"openstack.pleiades-3x3.Afap.json" 9 36 10 3 0.111111111111111
